"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_4","PI542718",116.842225823413,1.9797346668563,0.222668514669831,0.903737056964717,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI569454",306.591987904634,3.42133329986121,0.3224893016837,0.933114977945835,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI656015",243.200654482097,5.24709528359475,0.314562338424386,0.939348965498738,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329480",253.97186223183,8.17359996981571,0.222944326325204,0.945525233216397,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI534165",138.309253758409,4.40481431692946,0.191583514547222,0.949948388628632,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI197542",296.364413458225,17.8792996957574,0.250814549799756,0.950441937582568,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI524475",298.438543206308,9.72779168858256,0.249792130477262,0.952698184731313,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI535794",279.235935415027,6.5405190252608,0.26459941745,0.953581044199611,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329394",315.979036245996,10.3591536297708,0.298998209346063,0.955230864402058,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI526905",309.195664407734,23.0335368324273,0.156353787139838,0.955658429043479,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI506122",306.668099898837,7.54741409376,0.295846821992147,0.955818898113663,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI576401",294.550201250495,14.9214228833818,0.198210241116046,0.957697000722435,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI533902",311.504446930565,16.0662798751532,0.20933652157149,0.959140051910314,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329645",252.731618131055,0.919696482309724,0.435393097287632,0.96059205401214,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152651",303.120178891935,9.30443043327815,0.263054930595441,0.962374710401028,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI569422",319.015322069509,8.94788781118704,0.263244088663614,0.962395930075017,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI527045",295.672886456101,11.0598315821847,0.254018061664692,0.962491686864331,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI153877",290.261680620754,4.84251634458841,0.32185214278694,0.962748904595272,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI562981",268.690821695061,7.61359091224719,0.265459793781143,0.962836257661096,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329570",278.821711761841,8.26119600272365,0.235550838013633,0.963574718301488,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI569416",250.657442983867,2.00298048197931,0.348556894432527,0.964425612888948,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329473",300.275431378765,4.14544599190312,0.373008485438669,0.965818945045149,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI213900",256.255692824281,2.68412683347832,0.428515622211398,0.966019208503784,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI563338",354.863562556022,14.036389868122,0.270117801396906,0.966900862013114,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI181080",297.150976944468,10.7941229892862,0.300885230808538,0.967657648767413,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI218112",333.860068549554,19.2270404856279,0.28319852683602,0.967707461344472,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152965",333.079952511696,9.46096787085069,0.255493514316886,0.967731201369375,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI641830",295.476747978361,12.8748291715249,0.274165602906135,0.967830009873212,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329614",279.534621061355,5.06282920741771,0.269086399006493,0.967907740069344,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI585454",316.924639346928,7.30091047750396,0.272927212850786,0.968013583991209,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI656065",301.226645731907,10.0197212522632,0.292507448569606,0.968090881650148,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI157804",341.843030440935,11.3297055502083,0.34531948017157,0.968491763892775,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI585954",218.969194502661,5.13738672166659,0.232902143863747,0.968614551968125,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI562985",303.146818912929,10.1367693006962,0.262773033286469,0.969164470261425,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI569457",220.331694473859,10.5983020584417,0.182725601551712,0.969193441986298,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329541",333.018040146174,10.9958987438951,0.249353087808472,0.969553167755755,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI181083",251.819948857672,4.33058659411792,0.344167251061534,0.969660340316551,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152961",311.88255744675,10.0998251792139,0.290156028669752,0.970165452954669,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI152816",285.760194992158,5.13526259065443,0.335720514870985,0.970369866385175,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI453696",312.72219096223,9.77293506497411,0.28768508033544,0.97126123395105,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI569443",282.682363784004,7.52394909594775,0.241695739657134,0.971330770202033,"Bayesian logistic model of canopy height vs. gdd","RE"
