"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_6","PI533998",301.746382221789,4.68080979478677,0.318057552648192,0.953482284702532,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI527045",320.161006441873,10.7987333800846,0.243963608134765,0.953742526152475,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570042",283.860141827309,3.61228323255341,0.30207949783619,0.954584119618961,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI585452",330.30903956883,6.14095220756042,0.304092890262579,0.954828290028869,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562982",231.765661072734,3.10700305322632,0.281679383742232,0.955078482485516,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329546",273.610565957951,3.04478115221557,0.343939060353171,0.955357791981826,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329256",238.361274816777,1.73066640439337,0.352957175429356,0.955543756322537,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329646",349.725213356325,4.45556195547254,0.356857978003102,0.955886662195487,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569455",250.470145578934,2.06714410640253,0.330593260911025,0.956195888071519,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI619838",324.703187485908,2.44956631002139,0.38601978744455,0.95630552378695,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570114",253.487961378886,2.31984271719069,0.333615293956148,0.956380976188776,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570074",265.286244877552,1.63324296395803,0.364889275286108,0.956826432903192,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569444",334.642033813169,2.43419325896791,0.4109044516331,0.957778602703963,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329480",303.968523806347,3.90887491928407,0.346754488446609,0.957822328883006,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563002",289.221703140311,1.73376859209507,0.396033347212459,0.958134143899804,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI506030",316.721758168501,2.78809431312967,0.378279895560722,0.958258170041729,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI506122",292.675204340363,4.19386695861766,0.343329875319978,0.958315661944782,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI534120",280.35674524649,1.09342914836495,0.427548563466401,0.958337020750277,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156871",366.733891661646,5.21662974588513,0.369757070088878,0.958360110910829,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570106",252.943664088808,0.637733799793785,0.408461226341181,0.959349390736462,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","SP1516",315.41904021129,4.85043944499852,0.341104018479644,0.959693971051148,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152965",318.164427050052,2.08141244682308,0.419537758917201,0.959726256342305,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562998",210.540667669338,3.55767084194102,0.242381110427245,0.960089137817829,"Bayesian logistic model of canopy height vs. gdd","simple"
